,name,description,ingredients,notes
0,Gỏi Cuốn,"Mỗi chiếc gỏi cuốn được cuốn cẩn thận trong lá bánh tráng mềm mại, kết hợp với các loại rau sống, thịt hoặc tôm tươi, và thường được thưởng thức cùng với nước mắm pha chua ngọt.","bún, bánh tráng, tôm, thịt bò phi lê, rau sống","Món gỏi cuốn thường được phục vụ tươi và phải ăn liền sau khi cuốn để trải nghiệm hương vị tốt nhất."
1,Phở Việt Nam,"Nổi tiếng với hương vị đậm đà và hương thơm của gia vị tự nhiên. mỗi tô phở được chế biến từ nước dùng thơm ngon, kết hợp với sợi bún mềm mại và các loại thịt hoặc hải sản tươi ngon.","bún phở, thịt bò, thịt gà, hành tây, hành phi, rau sống, giá đỗ, ớt","Thịt bò có thể chọn giữa tái và chín."
2,Cơm Tấm,"Cơm tấm là một món ăn đường phố phổ biến trong ẩm Việt Nam. Mỗi đĩa cơm tấm thường bao gồm cơm nấu từ gạo tấm, kết hợp với các thịt heo nướng, trứng hấp, chả, dưa leo và nước mắm.","gạo tấm, thịt heo, trứng, chả, dưa leo, nước mắm chua ngọt","Cơm tấm thường được ăn vào bữa trưa hoặc bữa tối và dùng kèm với nước mắm chua ngọt."
3,Bún Bò,"Bún bò là một món ăn đặc trưng của ẩm thực miền Trung Việt Nam, nổi tiếng với hương vị đậm đà và phong phú. Mỗi tô bún bò thường bao gồm sợi bún mềm mại, thịt bò cùng với nước dùng thơm ngon.","bún, thịt bò, hành tây, hành tím, rau sống","Thịt bò có thể chọn giữa tái, nạm, bắp bò, giò heo."
3,Khoai Tây Chiên,"Khoai tây chiên là một món ăn phổ biến và được ưa chuộng trên khắp thế giới, với vị giòn của lớp áo bên ngoài và khoai tây mềm bên trong.","khoai tây, dầu, muối",
4,Bánh Mì Thịt,"Bánh mì Việt Nam vỏ giòn, kẹp thịt và rau thơm, thường dùng làm bữa sáng hoặc bữa ăn nhanh.","bánh mì, thịt nguội hoặc thịt nướng, pate, dưa leo, đồ chua, rau mùi, tương ớt","Có thể yêu cầu không pate hoặc thêm trứng."
5,Bún Chả,"Món bún Hà Nội gồm thịt heo nướng, chả viên và bún tươi ăn cùng nước mắm chua ngọt.","bún tươi, thịt ba chỉ, thịt heo xay, nước mắm, đu đủ xanh, rau sống","Nước chấm thường được phục vụ riêng để chấm bún và thịt."
6,Bún Riêu Cua,"Bún riêu có nước dùng vị chua dịu từ cà chua, riêu cua và đậu phụ.","bún, cua đồng, cà chua, đậu phụ, trứng, mắm tôm, rau sống","Có thể dùng thêm mắm tôm tùy khẩu vị."
7,Bún Thịt Nướng,"Bún tươi kết hợp thịt heo nướng thơm, rau sống và nước mắm pha.","bún, thịt heo, rau sống, dưa leo, đồ chua, đậu phộng, nước mắm","Thường rắc đậu phộng và hành phi trước khi dùng."
8,Bún Đậu Mắm Tôm,"Mẹt bún đậu gồm bún lá, đậu phụ chiên và các món ăn kèm, chấm mắm tôm.","bún lá, đậu phụ, mắm tôm, thịt luộc, chả cốm, rau thơm, chanh, ớt","Mắm tôm có thể pha quất hoặc chanh và đường."
9,Mì Quảng,"Mì Quảng là món đặc sản miền Trung với sợi mì vàng, nước dùng ít và nhiều rau sống.","mì Quảng, tôm, thịt heo, trứng cút, đậu phộng, bánh tráng mè, rau sống","Nước dùng chỉ xâm xấp; dùng kèm bánh tráng nướng."
